_id,Amount,GLNo,Date,NotingType,Source[0],Source[1],COB,Key,Find
675277dc3606ba2acbdb3ab5,265,GL094307/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094307/2430092024265,FALSE
675277dc3606ba2acbdb3ab7,197,GL094309/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094309/2430092024197,FALSE
675277dc3606ba2acbdb3ab4,995,GL094301/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094301/2430092024995,FALSE
675277dc3606ba2acbdb3ab6,313,GL094308/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094308/2430092024313,FALSE
675277dc3606ba2acbdb3ab8,232,GL094310/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094310/2430092024232,FALSE
675277dc3606ba2acbdb3ab9,160,GL094311/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094311/2430092024160,FALSE
675277dc3606ba2acbdb3aba,359,GL094312/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094312/2430092024359,FALSE
675277dc3606ba2acbdb3abb,477,GL094314/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094314/2430092024477,FALSE
675277dc3606ba2acbdb3abc,329,GL094316/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094316/2430092024329,FALSE
675277dc3606ba2acbdb3abd,94,GL094317/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094317/243009202494,FALSE
675277dc3606ba2acbdb3abe,840,GL094318/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094318/2430092024840,FALSE
675277dc3606ba2acbdb3abf,56,GL094319/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094319/243009202456,FALSE
675277dc3606ba2acbdb3ac0,77,GL094320/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094320/243009202477,FALSE
675277dc3606ba2acbdb3ac1,137,GL094321/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094321/2430092024137,FALSE
675277dc3606ba2acbdb3ac2,3434,GL094323/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094323/24300920243434,FALSE
675277dc3606ba2acbdb3ac3,1164,GL094324/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094324/24300920241164,FALSE
675277dc3606ba2acbdb3ac4,477,GL094325/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094325/2430092024477,FALSE
675277dc3606ba2acbdb3ac5,616,GL094327/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094327/2430092024616,FALSE
675277dc3606ba2acbdb3ac6,1298,GL094328/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094328/24300920241298,FALSE
675277dc3606ba2acbdb3ac7,17,GL094329/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094329/243009202417,FALSE
675277dc3606ba2acbdb3ac8,35,GL094331/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094331/243009202435,FALSE
675277dc3606ba2acbdb3ac9,630,GL094332/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094332/2430092024630,FALSE
675277dc3606ba2acbdb3aca,1105,GL094335/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094335/24300920241105,FALSE
675277dc3606ba2acbdb3acc,2800,GL094338/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094338/24300920242800,FALSE
675277dc3606ba2acbdb3acb,504,GL094337/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094337/2430092024504,FALSE
675277de3606ba2acbdb3ace,140,GL094347/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094347/2430092024140,FALSE
675277de3606ba2acbdb3acd,112,GL094339/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094339/2430092024112,FALSE
675277de3606ba2acbdb3ad0,99,GL094349/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094349/243009202499,FALSE
675277de3606ba2acbdb3acf,132,GL094348/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094348/2430092024132,FALSE
675277de3606ba2acbdb3ad1,335,GL094350/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094350/2430092024335,FALSE
675277de3606ba2acbdb3ad2,420,GL094351/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094351/2430092024420,FALSE
675277de3606ba2acbdb3ad3,934,GL094353/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094353/2430092024934,FALSE
675277de3606ba2acbdb3ad4,130,GL094354/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094354/2430092024130,FALSE
675277de3606ba2acbdb3ad7,45,GL094360/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094360/243009202445,FALSE
675277de3606ba2acbdb3ad6,60,GL094358/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094358/243009202460,FALSE
675277de3606ba2acbdb3ad5,112,GL094356/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094356/2430092024112,FALSE
675277de3606ba2acbdb3ad8,29,GL094361/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094361/243009202429,FALSE
675277de3606ba2acbdb3ad9,112,GL094362/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094362/2430092024112,FALSE
675277de3606ba2acbdb3ada,1357,GL094364/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094364/24300920241357,FALSE
675277de3606ba2acbdb3adb,215,GL094365/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094365/2430092024215,FALSE
675277de3606ba2acbdb3adc,232,GL094366/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094366/2430092024232,FALSE
675277de3606ba2acbdb3add,197,GL094367/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094367/2430092024197,FALSE
675277de3606ba2acbdb3ade,125,GL094370/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094370/2430092024125,FALSE
675277de3606ba2acbdb3adf,3551,GL094372/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094372/24300920243551,FALSE
675277de3606ba2acbdb3ae0,357,GL094374/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094374/2430092024357,FALSE
675277de3606ba2acbdb3ae1,179,GL094375/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094375/2430092024179,FALSE
675277de3606ba2acbdb3ae3,179,GL094377/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094377/2430092024179,FALSE
675277de3606ba2acbdb3ae2,167,GL094376/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094376/2430092024167,FALSE
675277de3606ba2acbdb3ae5,357,GL094379/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094379/2430092024357,FALSE
675277de3606ba2acbdb3ae4,357,GL094378/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094378/2430092024357,FALSE
675277e03606ba2acbdb3ae6,8,GL094380/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094380/24300920248,FALSE
675277e03606ba2acbdb3ae7,1196,GL094381/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094381/24300920241196,FALSE
675277e03606ba2acbdb3ae9,312,GL094383/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094383/2430092024312,FALSE
675277e03606ba2acbdb3aea,286,GL094384/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094384/2430092024286,FALSE
675277e03606ba2acbdb3ae8,829,GL094382/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094382/2430092024829,FALSE
675277e03606ba2acbdb3aeb,286,GL094386/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094386/2430092024286,FALSE
675277e03606ba2acbdb3aed,36,GL094392/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094392/243009202436,FALSE
675277e03606ba2acbdb3aec,464,GL094387/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094387/2430092024464,FALSE
675277e03606ba2acbdb3aee,73,GL094393/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094393/243009202473,FALSE
675277e03606ba2acbdb3aef,210,GL094395/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094395/2430092024210,FALSE
675277e03606ba2acbdb3af2,977,GL094398/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094398/2430092024977,FALSE
675277e03606ba2acbdb3af3,1046,GL094402/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094402/24300920241046,FALSE
675277e03606ba2acbdb3af1,105,GL094397/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094397/2430092024105,FALSE
675277e03606ba2acbdb3af0,393,GL094396/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094396/2430092024393,FALSE
675277e03606ba2acbdb3af4,253,GL094404/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094404/2430092024253,FALSE
675277e03606ba2acbdb3af5,60,GL094405/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094405/243009202460,FALSE
675277e03606ba2acbdb3af6,178,GL094407/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094407/2430092024178,FALSE
675277e03606ba2acbdb3af8,140,GL094410/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094410/2430092024140,FALSE
675277e03606ba2acbdb3af7,102,GL094408/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094408/2430092024102,FALSE
675277e03606ba2acbdb3af9,336,GL094415/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094415/2430092024336,FALSE
675277e03606ba2acbdb3afa,256,GL094417/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094417/2430092024256,FALSE
675277e03606ba2acbdb3afb,71,GL094418/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094418/243009202471,FALSE
675277e03606ba2acbdb3afc,119,GL094419/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094419/2430092024119,FALSE
675277e03606ba2acbdb3afd,41,GL094420/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094420/243009202441,FALSE
675277e03606ba2acbdb3afe,163,GL094422/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094422/2430092024163,FALSE
675277e23606ba2acbdb3aff,869,GL094423/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094423/2430092024869,FALSE
675277e23606ba2acbdb3b02,937,GL094430/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094430/2430092024937,FALSE
