_id,Amount,Date,RecNo,TxnType,GLNo,PendingDays,PrincDue,Source[0]
67610573cb78d87ad7a7a82c,4273,2021-09-23T00:00:00.000Z,R000116175,IntPayment,GL071267/19,146,56965,Receipt_2022-03-31
67610573cb78d87ad7a7a82d,7000,2021-09-23T00:00:00.000Z,R000116183,PrincPayment,GL076913/21,36,7000,Receipt_2022-03-31
67610573cb78d87ad7a7a82e,123,2021-09-23T00:00:00.000Z,R000116183,IntPayment,GL076913/21,36,7000,Receipt_2022-03-31
67610573cb78d87ad7a7a82f,0,2021-09-23T00:00:00.000Z,R000116177,PrincPayment,GL072543/20,28,42414,Receipt_2022-03-31
67610573cb78d87ad7a7a830,391,2021-09-23T00:00:00.000Z,R000116177,IntPayment,GL072543/20,28,42414,Receipt_2022-03-31
67610573cb78d87ad7a7a831,0,2021-09-23T00:00:00.000Z,R000116178,PrincPayment,GL073505/20,30,116000,Receipt_2022-03-31
67610573cb78d87ad7a7a832,1145,2021-09-23T00:00:00.000Z,R000116178,IntPayment,GL073505/20,30,116000,Receipt_2022-03-31
67610573cb78d87ad7a7a833,0,2021-09-23T00:00:00.000Z,R000116179,PrincPayment,GL074489/20,28,24000,Receipt_2022-03-31
67610573cb78d87ad7a7a834,221,2021-09-23T00:00:00.000Z,R000116179,IntPayment,GL074489/20,28,24000,Receipt_2022-03-31
67610573cb78d87ad7a7a835,0,2021-09-23T00:00:00.000Z,R000116180,PrincPayment,GL074113/20,28,12000,Receipt_2022-03-31
67610573cb78d87ad7a7a836,111,2021-09-23T00:00:00.000Z,R000116180,IntPayment,GL074113/20,28,12000,Receipt_2022-03-31
67610573cb78d87ad7a7a837,0,2021-09-23T00:00:00.000Z,R000116181,PrincPayment,GL075778/21,28,11000,Receipt_2022-03-31
67610573cb78d87ad7a7a838,102,2021-09-23T00:00:00.000Z,R000116181,IntPayment,GL075778/21,28,11000,Receipt_2022-03-31
67610578cb78d87ad7a7a839,0,2021-09-23T00:00:00.000Z,R000116182,PrincPayment,GL075525/20,28,7500,Receipt_2022-03-31
67610578cb78d87ad7a7a83a,70,2021-09-23T00:00:00.000Z,R000116182,IntPayment,GL075525/20,28,7500,Receipt_2022-03-31
67610578cb78d87ad7a7a83b,13304,2021-09-23T00:00:00.000Z,R000116190,PrincPayment,GL075879/21,28,13304,Receipt_2022-03-31
67610578cb78d87ad7a7a83c,185,2021-09-23T00:00:00.000Z,R000116190,IntPayment,GL075879/21,28,13304,Receipt_2022-03-31
67610578cb78d87ad7a7a83d,0,2021-09-23T00:00:00.000Z,R000116184,PrincPayment,GL076952/21,30,12500,Receipt_2022-03-31
67610578cb78d87ad7a7a83e,124,2021-09-23T00:00:00.000Z,R000116184,IntPayment,GL076952/21,30,12500,Receipt_2022-03-31
67610578cb78d87ad7a7a83f,0,2021-09-23T00:00:00.000Z,R000116185,PrincPayment,GL076207/21,29,22000,Receipt_2022-03-31
67610578cb78d87ad7a7a840,210,2021-09-23T00:00:00.000Z,R000116185,IntPayment,GL076207/21,29,22000,Receipt_2022-03-31
67610578cb78d87ad7a7a841,0,2021-09-23T00:00:00.000Z,R000116186,PrincPayment,GL074023/20,29,10000,Receipt_2022-03-31
67610578cb78d87ad7a7a842,96,2021-09-23T00:00:00.000Z,R000116186,IntPayment,GL074023/20,29,10000,Receipt_2022-03-31
67610578cb78d87ad7a7a843,0,2021-09-23T00:00:00.000Z,R000116187,PrincPayment,GL075411/20,29,84878,Receipt_2022-03-31
67610578cb78d87ad7a7a844,810,2021-09-23T00:00:00.000Z,R000116187,IntPayment,GL075411/20,29,84878,Receipt_2022-03-31
67610578cb78d87ad7a7a845,11000,2021-09-23T00:00:00.000Z,R000116188,PrincPayment,GL074195/20,268,11000,Receipt_2022-03-31
67610578cb78d87ad7a7a846,1485,2021-09-23T00:00:00.000Z,R000116188,IntPayment,GL074195/20,268,11000,Receipt_2022-03-31
67610578cb78d87ad7a7a847,0,2021-09-23T00:00:00.000Z,R000116189,PrincPayment,GL076203/21,29,32000,Receipt_2022-03-31
67610578cb78d87ad7a7a848,306,2021-09-23T00:00:00.000Z,R000116189,IntPayment,GL076203/21,29,32000,Receipt_2022-03-31
67610578cb78d87ad7a7a849,10000,2021-09-23T00:00:00.000Z,R000116193,PrincPayment,GL076465/21,24,10000,Receipt_2022-03-31
67610578cb78d87ad7a7a84a,119,2021-09-23T00:00:00.000Z,R000116193,IntPayment,GL076465/21,24,10000,Receipt_2022-03-31
67610578cb78d87ad7a7a84b,0,2021-09-23T00:00:00.000Z,R000116191,PrincPayment,GL077001/21,25,23000,Receipt_2022-03-31
67610578cb78d87ad7a7a84c,190,2021-09-23T00:00:00.000Z,R000116191,IntPayment,GL077001/21,25,23000,Receipt_2022-03-31
67610578cb78d87ad7a7a84d,0,2021-09-23T00:00:00.000Z,R000116192,PrincPayment,GL074162/20,270,20500,Receipt_2022-03-31
67610578cb78d87ad7a7a84e,3341,2021-09-23T00:00:00.000Z,R000116192,IntPayment,GL074162/20,270,20500,Receipt_2022-03-31
67610578cb78d87ad7a7a84f,10000,2021-09-23T00:00:00.000Z,R000116194,PrincPayment,GL076507/21,24,10000,Receipt_2022-03-31
67610578cb78d87ad7a7a850,119,2021-09-23T00:00:00.000Z,R000116194,IntPayment,GL076507/21,24,10000,Receipt_2022-03-31
67610578cb78d87ad7a7a851,35000,2021-09-23T00:00:00.000Z,R000116195,PrincPayment,GL075802/21,24,35000,Receipt_2022-03-31
67610578cb78d87ad7a7a852,416,2021-09-23T00:00:00.000Z,R000116195,IntPayment,GL075802/21,24,35000,Receipt_2022-03-31
67610578cb78d87ad7a7a853,40000,2021-09-23T00:00:00.000Z,R000116205,PrincPayment,GL077138/21,6,40000,Receipt_2022-03-31
67610578cb78d87ad7a7a854,119,2021-09-23T00:00:00.000Z,R000116205,IntPayment,GL077138/21,6,40000,Receipt_2022-03-31
67610578cb78d87ad7a7a855,9934,2021-09-23T00:00:00.000Z,R000116196,PrincPayment,GL074130/20,185,9934,Receipt_2022-03-31
67610578cb78d87ad7a7a856,895,2021-09-23T00:00:00.000Z,R000116196,IntPayment,GL074130/20,185,9934,Receipt_2022-03-31
67610578cb78d87ad7a7a857,0,2021-09-23T00:00:00.000Z,R000116197,PrincPayment,GL074393/20,30,7000,Receipt_2022-03-31
67610578cb78d87ad7a7a858,70,2021-09-23T00:00:00.000Z,R000116197,IntPayment,GL074393/20,30,7000,Receipt_2022-03-31
67610578cb78d87ad7a7a859,0,2021-09-23T00:00:00.000Z,R000116198,PrincPayment,GL072158/20,30,40000,Receipt_2022-03-31
67610578cb78d87ad7a7a85a,395,2021-09-23T00:00:00.000Z,R000116198,IntPayment,GL072158/20,30,40000,Receipt_2022-03-31
67610578cb78d87ad7a7a85b,0,2021-09-23T00:00:00.000Z,R000116199,PrincPayment,GL072159/20,30,41000,Receipt_2022-03-31
67610578cb78d87ad7a7a85c,405,2021-09-23T00:00:00.000Z,R000116199,IntPayment,GL072159/20,30,41000,Receipt_2022-03-31
67610578cb78d87ad7a7a85d,0,2021-09-23T00:00:00.000Z,R000116200,PrincPayment,GL072700/20,30,30000,Receipt_2022-03-31
67610578cb78d87ad7a7a85e,296,2021-09-23T00:00:00.000Z,R000116200,IntPayment,GL072700/20,30,30000,Receipt_2022-03-31
67610578cb78d87ad7a7a85f,0,2021-09-23T00:00:00.000Z,R000116201,PrincPayment,GL073354/20,30,19000,Receipt_2022-03-31
67610578cb78d87ad7a7a860,188,2021-09-23T00:00:00.000Z,R000116201,IntPayment,GL073354/20,30,19000,Receipt_2022-03-31
67610578cb78d87ad7a7a861,0,2021-09-23T00:00:00.000Z,R000116202,PrincPayment,GL075080/20,30,15000,Receipt_2022-03-31
67610578cb78d87ad7a7a862,148,2021-09-23T00:00:00.000Z,R000116202,IntPayment,GL075080/20,30,15000,Receipt_2022-03-31
67610578cb78d87ad7a7a863,0,2021-09-23T00:00:00.000Z,R000116203,PrincPayment,GL075293/20,30,52000,Receipt_2022-03-31
67610578cb78d87ad7a7a864,513,2021-09-23T00:00:00.000Z,R000116203,IntPayment,GL075293/20,30,52000,Receipt_2022-03-31
67610578cb78d87ad7a7a865,0,2021-09-23T00:00:00.000Z,R000116204,PrincPayment,GL075811/21,30,20000,Receipt_2022-03-31
67610578cb78d87ad7a7a866,198,2021-09-23T00:00:00.000Z,R000116204,IntPayment,GL075811/21,30,20000,Receipt_2022-03-31
67610578cb78d87ad7a7a867,50000,2021-09-23T00:00:00.000Z,R000116206,PrincPayment,GL077076/21,6,50000,Receipt_2022-03-31
67610578cb78d87ad7a7a868,149,2021-09-23T00:00:00.000Z,R000116206,IntPayment,GL077076/21,6,50000,Receipt_2022-03-31
67610578cb78d87ad7a7a869,20000,2021-09-23T00:00:00.000Z,R000116207,PrincPayment,GL077243/21,7,20000,Receipt_2022-03-31
67610578cb78d87ad7a7a86a,71,2021-09-23T00:00:00.000Z,R000116207,IntPayment,GL077243/21,7,20000,Receipt_2022-03-31
6761057fcb78d87ad7a7a86b,1000,2021-09-23T00:00:00.000Z,R000116210,PrincPayment,GL076160/21,29,1000,Receipt_2022-03-31
6761057fcb78d87ad7a7a86c,15,2021-09-23T00:00:00.000Z,R000116210,IntPayment,GL076160/21,29,1000,Receipt_2022-03-31
6761057fcb78d87ad7a7a86d,17892,2021-09-23T00:00:00.000Z,R000116208,PrincPayment,GL072771/20,157,17892,Receipt_2022-03-31
6761057fcb78d87ad7a7a86e,1409,2021-09-23T00:00:00.000Z,R000116208,IntPayment,GL072771/20,157,17892,Receipt_2022-03-31
6761057fcb78d87ad7a7a86f,0,2021-09-23T00:00:00.000Z,R000116209,PrincPayment,GL076393/21,34,18000,Receipt_2022-03-31
6761057fcb78d87ad7a7a870,198,2021-09-23T00:00:00.000Z,R000116209,IntPayment,GL076393/21,34,18000,Receipt_2022-03-31
6761057fcb78d87ad7a7a871,18500,2021-09-23T00:00:00.000Z,R000116211,PrincPayment,GL075450/20,171,18500,Receipt_2022-03-31
6761057fcb78d87ad7a7a872,1527,2021-09-23T00:00:00.000Z,R000116211,IntPayment,GL075450/20,171,18500,Receipt_2022-03-31
6761057fcb78d87ad7a7a873,34296,2021-09-23T00:00:00.000Z,R000116212,PrincPayment,GL072731/20,171,34296,Receipt_2022-03-31
6761057fcb78d87ad7a7a874,2830,2021-09-23T00:00:00.000Z,R000116212,IntPayment,GL072731/20,171,34296,Receipt_2022-03-31
6761057fcb78d87ad7a7a875,4500,2021-09-23T00:00:00.000Z,R000116213,PrincPayment,GL068665/19,693,4500,Receipt_2022-03-31
6761057fcb78d87ad7a7a876,1537,2021-09-23T00:00:00.000Z,R000116213,IntPayment,GL068665/19,693,4500,Receipt_2022-03-31
6761057fcb78d87ad7a7a877,3000,2021-09-23T00:00:00.000Z,R000116214,PrincPayment,GL076948/21,31,5000,Receipt_2022-03-31
6761057fcb78d87ad7a7a878,50,2021-09-23T00:00:00.000Z,R000116214,IntPayment,GL076948/21,31,5000,Receipt_2022-03-31
6761057fcb78d87ad7a7a879,9000,2021-09-23T00:00:00.000Z,R000116215,PrincPayment,GL077100/21,18,10000,Receipt_2022-03-31
6761057fcb78d87ad7a7a87a,60,2021-09-23T00:00:00.000Z,R000116215,IntPayment,GL077100/21,18,10000,Receipt_2022-03-31
6761057fcb78d87ad7a7a87b,7000,2021-09-23T00:00:00.000Z,R000116216,PrincPayment,GL071312/19,557,7000,Receipt_2022-03-31
6761057fcb78d87ad7a7a87c,1918,2021-09-23T00:00:00.000Z,R000116216,IntPayment,GL071312/19,557,7000,Receipt_2022-03-31
6761057fcb78d87ad7a7a87d,10000,2021-09-24T00:00:00.000Z,R000116224,PrincPayment,GL077297/21,7,10000,Receipt_2022-03-31
